tick,event,x,y
138147,mined,67.5,30.5
138867,build,35.5,20.5
138871,build,36.5,20.5
138873,build,37.5,20.5
138874,build,38.5,20.5
138875,build,39.5,20.5
138876,build,40.5,20.5
138877,build,41.5,20.5
138878,build,42.5,20.5
138878,build,43.5,20.5
138879,build,44.5,20.5
138923,build,78.5,16.5
138927,build,79.5,16.5
138930,build,80.5,16.5
138934,build,81.5,16.5
138985,build,82.5,16.5
139301,mined,34.5,21.5
139301,build,34.5,21
139628,build,40.5,19.5
139657,build,41.5,19.5
139705,build,44.5,19.5
139740,build,45.5,19.5
139809,build,45.5,20.5
140213,build,28.5,27.5
140435,build,28.5,28.5
140443,build,28.5,29.5
140483,mined,28.5,29.5
140483,build,28.5,29.5
140483,build,29.5,29.5
140483,build,30.5,29.5
140483,build,31.5,29.5
140483,build,32.5,29.5
140483,build,33.5,29.5
140507,build,34.5,29.5
140508,build,35.5,29.5
140510,build,36.5,29.5
140511,build,37.5,29.5
140512,build,38.5,29.5
140514,build,39.5,29.5
140517,build,40.5,29.5
140519,build,41.5,29.5
141189,build,21,28
141197,build,19,28
141251,build,17,28
141264,build,15,28
141278,build,13,28
141291,build,11,28
141305,build,9,28
141318,build,7,28
141332,build,5,28
141344,build,3,28
141357,build,1,28
143332,build,38,-3
143401,build,38,-5
143444,build,38,-7
143477,build,38,-9
143477,mined,82.5,17.5
143588,mined,82.5,16.5
143740,build,82.5,16.5
144002,build,82.5,18
144052,mined,82.5,18
144068,build,36.5,-8.5
144094,build,36.5,-6.5
144129,build,36.5,-4.5
144172,mined,81.5,16.5
144172,build,81.5,17
144178,build,36.5,-2.5
144342,build,36.5,-3.5
144361,build,36.5,-5.5
144381,build,36.5,-7.5
145394,build,82.5,17.5
145523,build,82.5,18.5
145734,build,36.5,-9.5
147071,build,42.5,29.5
147080,build,43.5,29.5
147085,build,44.5,29.5
147091,build,45.5,29.5
147096,build,46.5,29.5
147103,build,47.5,29.5
147109,build,48.5,29.5
147351,build,48.5,28.5
147356,build,47.5,28.5
147403,build,44.5,28.5
147410,build,43.5,28.5
147473,build,40.5,28.5
147480,build,39.5,28.5
149479,mined,29,20.5
149493,mined,28.5,21.5
149662,build,29,20.5
150037,build,28,21.5
150200,build,28.5,22.5
150581,mined,27.5,25.5
150581,build,27.5,25.5
150646,build,27.5,23.5
150651,build,27.5,22.5
150709,mined,26.5,25.5
150737,mined,25.5,25.5
150761,mined,24.5,25.5
150784,mined,23.5,25.5
150851,build,27.5,24.5
150852,build,26.5,24.5
150854,build,25.5,24.5
150855,build,24.5,24.5
151008,mined,21,28
151170,build,21,27
151246,mined,19,28
151276,mined,17,28
151314,mined,15,28
151351,mined,13,28
